cod_disc,nome_disc,ementa,ppc_comp,abet_so,justificativa_abet
CDS0007,INTRODUÃ‡ÃƒO AO DESENVOLVIMENTO SUSTENTÃVEL,"A disciplina foi desenhada para apresentar os principais debates relacionados ao tema do Desenvolvimento Sustentável (DS), de forma compreensível e útil para as diversas áreas do conhecimento, bem como demonstrar a necessidade da interdisciplinaridade no trato das questões ambientais. São considerados aspectos conceituais, temáticos, analíticos e institucionais, bem como algumas ferramentas e instrumentos fundamentais para a implementação de ações e práticas que tenham o DS como objetivo. De forma crítica, o curso salienta os temas mais importantes da interação sociedade-natureza e das suas relações com as principais problemáticas atuais. O curso é realizado por meio de aulas expositivas ministradas pelos professores do",PPC-EP-01,"SO1 - uma habilidade de identificar, formular e resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática.","A disciplina INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL foi associada ao SO1 porque, conforme sua ementa, contribui para desenvolver a habilidade de resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática."
CDS0007,INTRODUÃ‡ÃƒO AO DESENVOLVIMENTO SUSTENTÃVEL,"A disciplina foi desenhada para apresentar os principais debates relacionados ao tema do Desenvolvimento Sustentável (DS), de forma compreensível e útil para as diversas áreas do conhecimento, bem como demonstrar a necessidade da interdisciplinaridade no trato das questões ambientais. São considerados aspectos conceituais, temáticos, analíticos e institucionais, bem como algumas ferramentas e instrumentos fundamentais para a implementação de ações e práticas que tenham o DS como objetivo. De forma crítica, o curso salienta os temas mais importantes da interação sociedade-natureza e das suas relações com as principais problemáticas atuais. O curso é realizado por meio de aulas expositivas ministradas pelos professores do",PPC-EP-01,"SO4 - uma habilidade de reconhecer responsabilidades éticas e profissionais em situações de engenharia e tomar decisões informadas, que considerem o impacto das soluções de engenharia nos contextos global, econômico, ambiental e social.","A disciplina INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL foi associada ao SO4 porque, conforme sua ementa, contribui para desenvolver a habilidade de reconhecer responsabilidades éticas e profissionais e avaliar o impacto das soluções de engenharia em contextos globais, econômicos, ambientais e sociais."
CDS0007,INTRODUÃ‡ÃƒO AO DESENVOLVIMENTO SUSTENTÃVEL,"A disciplina foi desenhada para apresentar os principais debates relacionados ao tema do Desenvolvimento Sustentável (DS), de forma compreensível e útil para as diversas áreas do conhecimento, bem como demonstrar a necessidade da interdisciplinaridade no trato das questões ambientais. São considerados aspectos conceituais, temáticos, analíticos e institucionais, bem como algumas ferramentas e instrumentos fundamentais para a implementação de ações e práticas que tenham o DS como objetivo. De forma crítica, o curso salienta os temas mais importantes da interação sociedade-natureza e das suas relações com as principais problemáticas atuais. O curso é realizado por meio de aulas expositivas ministradas pelos professores do",PPC-EP-01,"SO6 - uma habilidade de desenvolver e conduzir experimentação apropriada, analisar e interpretar dados e usar o julgamento de engenharia para tirar conclusões.","A disciplina INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL foi associada ao SO6 porque, conforme sua ementa, contribui para desenvolver a habilidade de planejar e conduzir experimentos, analisar e interpretar dados e usar julgamento de engenharia para tirar conclusões fundamentadas."
CDS0007,INTRODUÃ‡ÃƒO AO DESENVOLVIMENTO SUSTENTÃVEL,"A disciplina foi desenhada para apresentar os principais debates relacionados ao tema do Desenvolvimento Sustentável (DS), de forma compreensível e útil para as diversas áreas do conhecimento, bem como demonstrar a necessidade da interdisciplinaridade no trato das questões ambientais. São considerados aspectos conceituais, temáticos, analíticos e institucionais, bem como algumas ferramentas e instrumentos fundamentais para a implementação de ações e práticas que tenham o DS como objetivo. De forma crítica, o curso salienta os temas mais importantes da interação sociedade-natureza e das suas relações com as principais problemáticas atuais. O curso é realizado por meio de aulas expositivas ministradas pelos professores do",PPC-EP-01,"SO7 - uma habilidade de adquirir e aplicar novos conhecimentos conforme necessário, utilizando estratégias de aprendizagem apropriadas.","A disciplina INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL foi associada ao SO7 porque, conforme sua ementa, contribui para desenvolver a habilidade de buscar, selecionar e aplicar novos conhecimentos quando necessário, utilizando estratégias adequadas de aprendizagem ao longo da vida."
EPR0056,INTRODUÃ‡ÃƒO Ã€ ENGENHARIA DE PRODUÃ‡ÃƒO,"Apresentação da Engenharia de Produção, seu desenvolvimento histórico, sua importância no presente e seus desafios para o futuro. A Engenharia de Produção e as demais engenharias. Principais definições e conceitos relacionados. Atuação profissional do engenheiro de produção. Ética profissional. Ferramentas e informações gerais úteis para o estudante nas atividades que terá pela frente durante o curso de graduação.",PPC-EP-02,SO3 - uma habilidade de se comunicar de forma eficaz com uma variedade de públicos.,"A disciplina INTRODUÇÃO À ENGENHARIA DE PRODUÇÃO foi associada ao SO3 porque, conforme sua ementa, contribui para desenvolver a habilidade de comunicar resultados, ideias e soluções de forma clara e adequada a diferentes públicos."
EPR0056,INTRODUÃ‡ÃƒO Ã€ ENGENHARIA DE PRODUÃ‡ÃƒO,"Apresentação da Engenharia de Produção, seu desenvolvimento histórico, sua importância no presente e seus desafios para o futuro. A Engenharia de Produção e as demais engenharias. Principais definições e conceitos relacionados. Atuação profissional do engenheiro de produção. Ética profissional. Ferramentas e informações gerais úteis para o estudante nas atividades que terá pela frente durante o curso de graduação.",PPC-EP-02,"SO4 - uma habilidade de reconhecer responsabilidades éticas e profissionais em situações de engenharia e tomar decisões informadas, que considerem o impacto das soluções de engenharia nos contextos global, econômico, ambiental e social.","A disciplina INTRODUÇÃO À ENGENHARIA DE PRODUÇÃO foi associada ao SO4 porque, conforme sua ementa, contribui para desenvolver a habilidade de reconhecer responsabilidades éticas e profissionais e avaliar o impacto das soluções de engenharia em contextos globais, econômicos, ambientais e sociais."
EPR0076,ENGENHARIA DO TRABALHO,"Percepção e processamento de informações. Ergonomia Cognitiva. Carga Mental. Estresse. Agentes estressores. Estresse psíquico e cognitivo. Fases do estresse. Ferramentas para avaliação do estresse. Formas de prevenção do estresse. Tarefas e cargos. Sistemas de Produção e modelos de Organização do Trabalho. O modelo clássico Taylorista-Fordista. Proposta Enriquecimento de Cargos e a visão sociotécnica. Novos paradigmas de Organização do Trabalho (JIT, Consórcio Modular). Modelos de Organização do Trabalho na era da automação industrial. A organização do Trabalho na Era do Conhecimento.",PPC-EP-02,"SO2 - uma habilidade de aplicar o projeto de engenharia para produzir soluções que atendam a necessidades especificadas, considerando a saúde, a segurança e o bem-estar públicos, bem como fatores globais, culturais, sociais, ambientais e econômicos.","A disciplina ENGENHARIA DO TRABALHO foi associada ao SO2 porque, conforme sua ementa, contribui para desenvolver a habilidade de aplicar projeto de engenharia para propor soluções que atendam necessidades específicas considerando saúde, segurança, meio ambiente e contexto socioeconômico."
EPR0076,ENGENHARIA DO TRABALHO,"Percepção e processamento de informações. Ergonomia Cognitiva. Carga Mental. Estresse. Agentes estressores. Estresse psíquico e cognitivo. Fases do estresse. Ferramentas para avaliação do estresse. Formas de prevenção do estresse. Tarefas e cargos. Sistemas de Produção e modelos de Organização do Trabalho. O modelo clássico Taylorista-Fordista. Proposta Enriquecimento de Cargos e a visão sociotécnica. Novos paradigmas de Organização do Trabalho (JIT, Consórcio Modular). Modelos de Organização do Trabalho na era da automação industrial. A organização do Trabalho na Era do Conhecimento.",PPC-EP-02,SO3 - uma habilidade de se comunicar de forma eficaz com uma variedade de públicos.,"A disciplina ENGENHARIA DO TRABALHO foi associada ao SO3 porque, conforme sua ementa, contribui para desenvolver a habilidade de comunicar resultados, ideias e soluções de forma clara e adequada a diferentes públicos."
EPR0076,ENGENHARIA DO TRABALHO,"Percepção e processamento de informações. Ergonomia Cognitiva. Carga Mental. Estresse. Agentes estressores. Estresse psíquico e cognitivo. Fases do estresse. Ferramentas para avaliação do estresse. Formas de prevenção do estresse. Tarefas e cargos. Sistemas de Produção e modelos de Organização do Trabalho. O modelo clássico Taylorista-Fordista. Proposta Enriquecimento de Cargos e a visão sociotécnica. Novos paradigmas de Organização do Trabalho (JIT, Consórcio Modular). Modelos de Organização do Trabalho na era da automação industrial. A organização do Trabalho na Era do Conhecimento.",PPC-EP-02,"SO5 - uma habilidade de atuar de forma eficaz em uma equipe cujos membros, em conjunto, fornecem liderança, criam um ambiente colaborativo, estabelecem metas, planejam tarefas e alcançam objetivos.","A disciplina ENGENHARIA DO TRABALHO foi associada ao SO5 porque, conforme sua ementa, contribui para desenvolver a habilidade de atuar de forma efetiva em equipes, exercendo liderança, colaboração e organização para cumprir metas e planos."
EPR0076,ENGENHARIA DO TRABALHO,"Percepção e processamento de informações. Ergonomia Cognitiva. Carga Mental. Estresse. Agentes estressores. Estresse psíquico e cognitivo. Fases do estresse. Ferramentas para avaliação do estresse. Formas de prevenção do estresse. Tarefas e cargos. Sistemas de Produção e modelos de Organização do Trabalho. O modelo clássico Taylorista-Fordista. Proposta Enriquecimento de Cargos e a visão sociotécnica. Novos paradigmas de Organização do Trabalho (JIT, Consórcio Modular). Modelos de Organização do Trabalho na era da automação industrial. A organização do Trabalho na Era do Conhecimento.",PPC-EP-02,"SO7 - uma habilidade de adquirir e aplicar novos conhecimentos conforme necessário, utilizando estratégias de aprendizagem apropriadas.","A disciplina ENGENHARIA DO TRABALHO foi associada ao SO7 porque, conforme sua ementa, contribui para desenvolver a habilidade de buscar, selecionar e aplicar novos conhecimentos quando necessário, utilizando estratégias adequadas de aprendizagem ao longo da vida."
IFD0171,FISICA 1,Módulos 1: Unidades e grandezas físicas 2: Vetores 3: Movimento retilineo 4: Movimento em duas e três dimensoes  5: Leis de Newton do movimento 6: Aplicação das Leis de Newton 7: Trabalho e Energia Cinetica ´ 8: Energia potencial e conservação de energia 9: Momento linear e impulso 10: Colisões  11: Rotação de corpos rígidos 12:Dinamica do movimento de rotação.,PPC-EP-01,"SO1 - uma habilidade de identificar, formular e resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática.","A disciplina FISICA 1 foi associada ao SO1 porque, conforme sua ementa, contribui para desenvolver a habilidade de resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática."
IFD0171,FISICA 1,Módulos 1: Unidades e grandezas físicas 2: Vetores 3: Movimento retilineo 4: Movimento em duas e três dimensoes  5: Leis de Newton do movimento 6: Aplicação das Leis de Newton 7: Trabalho e Energia Cinetica ´ 8: Energia potencial e conservação de energia 9: Momento linear e impulso 10: Colisões  11: Rotação de corpos rígidos 12:Dinamica do movimento de rotação.,PPC-EP-01,"SO4 - uma habilidade de reconhecer responsabilidades éticas e profissionais em situações de engenharia e tomar decisões informadas, que considerem o impacto das soluções de engenharia nos contextos global, econômico, ambiental e social.","A disciplina FISICA 1 foi associada ao SO4 porque, conforme sua ementa, contribui para desenvolver a habilidade de reconhecer responsabilidades éticas e profissionais e avaliar o impacto das soluções de engenharia em contextos globais, econômicos, ambientais e sociais."
IFD0173,FISICA 1 EXPERIMENTAL,MEDIDAS E ERROS. ANALISE GRAFICA. ATRITO. COLISAO. CONSERVACAO DO MOMENTO LINEAR. ESTUDO DOS MOVIMENTOS. ROTACAO. CONSERVACAO DE ENERGIA. EQUILIBRIO DE CORPOS RIGIDOS.,PPC-EP-06,"SO1 - uma habilidade de identificar, formular e resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática.","A disciplina FISICA 1 EXPERIMENTAL foi associada ao SO1 porque, conforme sua ementa, contribui para desenvolver a habilidade de resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática."
IFD0173,FISICA 1 EXPERIMENTAL,MEDIDAS E ERROS. ANALISE GRAFICA. ATRITO. COLISAO. CONSERVACAO DO MOMENTO LINEAR. ESTUDO DOS MOVIMENTOS. ROTACAO. CONSERVACAO DE ENERGIA. EQUILIBRIO DE CORPOS RIGIDOS.,PPC-EP-06,"SO6 - uma habilidade de desenvolver e conduzir experimentação apropriada, analisar e interpretar dados e usar o julgamento de engenharia para tirar conclusões.","A disciplina FISICA 1 EXPERIMENTAL foi associada ao SO6 porque, conforme sua ementa, contribui para desenvolver a habilidade de planejar e conduzir experimentos, analisar e interpretar dados e usar julgamento de engenharia para tirar conclusões fundamentadas."
MAT0025,CÃLCULO 1,"Funções de uma variável real, limite e continuidade, derivada, integral, aplicações da integral.",PPC-EP-01,"SO1 - uma habilidade de identificar, formular e resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática.","A disciplina CÁLCULO 1 foi associada ao SO1 porque, conforme sua ementa, contribui para desenvolver a habilidade de resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática."
EPR0061,FORMAÃ‡ÃƒO DE VALOR EM SISTEMAS DE PRODUÃ‡ÃƒO,"Modelos de criação de valor e apropriação dos valores criados entre os agentes envolvidos,  retornos financeiros, retornos consolidados (BSC) e visão baseada em recursos (RBV). Abordagens RBV e economia de custos transacionais (TCE).",PPC-EP-03,"SO6 - uma habilidade de desenvolver e conduzir experimentação apropriada, analisar e interpretar dados e usar o julgamento de engenharia para tirar conclusões.","A disciplina FORMAÇÃO DE VALOR EM SISTEMAS DE PRODUÇÃO foi associada ao SO6 porque, conforme sua ementa, contribui para desenvolver a habilidade de planejar e conduzir experimentos, analisar e interpretar dados e usar julgamento de engenharia para tirar conclusões fundamentadas."
EPR0061,FORMAÃ‡ÃƒO DE VALOR EM SISTEMAS DE PRODUÃ‡ÃƒO,"Modelos de criação de valor e apropriação dos valores criados entre os agentes envolvidos,  retornos financeiros, retornos consolidados (BSC) e visão baseada em recursos (RBV). Abordagens RBV e economia de custos transacionais (TCE).",PPC-EP-06,"SO6 - uma habilidade de desenvolver e conduzir experimentação apropriada, analisar e interpretar dados e usar o julgamento de engenharia para tirar conclusões.","A disciplina FORMAÇÃO DE VALOR EM SISTEMAS DE PRODUÇÃO foi associada ao SO6 porque, conforme sua ementa, contribui para desenvolver a habilidade de planejar e conduzir experimentos, analisar e interpretar dados e usar julgamento de engenharia para tirar conclusões fundamentadas."
IFD0175,FISICA 2,Módulos 1: Equilíbrio e elasticidade 2: Gravitação 3: Mecanica dos fluidos  4: Movimento periodico  5: Ondas mecanicas  6: Modos normais e som 7: Fenomenos on- dulatorios ´ 8: Temperatura e calor 9: Propriedades termicas da matéria ´ 10: Trabalho e primeira lei da termodinamica  11: Gases ideais e Processos termodinâmicos  12: Segunda lei da termodinâmica.,PPC-EP-02,"SO1 - uma habilidade de identificar, formular e resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática.","A disciplina FISICA 2 foi associada ao SO1 porque, conforme sua ementa, contribui para desenvolver a habilidade de resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática."
IFD0175,FISICA 2,Módulos 1: Equilíbrio e elasticidade 2: Gravitação 3: Mecanica dos fluidos  4: Movimento periodico  5: Ondas mecanicas  6: Modos normais e som 7: Fenomenos on- dulatorios ´ 8: Temperatura e calor 9: Propriedades termicas da matéria ´ 10: Trabalho e primeira lei da termodinamica  11: Gases ideais e Processos termodinâmicos  12: Segunda lei da termodinâmica.,PPC-EP-02,"SO2 - uma habilidade de aplicar o projeto de engenharia para produzir soluções que atendam a necessidades especificadas, considerando a saúde, a segurança e o bem-estar públicos, bem como fatores globais, culturais, sociais, ambientais e econômicos.","A disciplina FISICA 2 foi associada ao SO2 porque, conforme sua ementa, contribui para desenvolver a habilidade de aplicar projeto de engenharia para propor soluções que atendam necessidades específicas considerando saúde, segurança, meio ambiente e contexto socioeconômico."
IFD0175,FISICA 2,Módulos 1: Equilíbrio e elasticidade 2: Gravitação 3: Mecanica dos fluidos  4: Movimento periodico  5: Ondas mecanicas  6: Modos normais e som 7: Fenomenos on- dulatorios ´ 8: Temperatura e calor 9: Propriedades termicas da matéria ´ 10: Trabalho e primeira lei da termodinamica  11: Gases ideais e Processos termodinâmicos  12: Segunda lei da termodinâmica.,PPC-EP-02,"SO4 - uma habilidade de reconhecer responsabilidades éticas e profissionais em situações de engenharia e tomar decisões informadas, que considerem o impacto das soluções de engenharia nos contextos global, econômico, ambiental e social.","A disciplina FISICA 2 foi associada ao SO4 porque, conforme sua ementa, contribui para desenvolver a habilidade de reconhecer responsabilidades éticas e profissionais e avaliar o impacto das soluções de engenharia em contextos globais, econômicos, ambientais e sociais."
IFD0177,FISICA 2 EXPERIMENTAL,GIROSCOPIO. MOVIMENTO PERIODICO. HIDROSTATICA. ONDAS SONORAS. DILATACAO LINEAR. CALOR ESPECIFICO. DOS SOLIDOS. CONDUCAO DE CALOR. COMPORTAMENTO DO GASES.,,"SO1 - uma habilidade de identificar, formular e resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática.","A disciplina FISICA 2 EXPERIMENTAL foi associada ao SO1 porque, conforme sua ementa, contribui para desenvolver a habilidade de resolver problemas complexos de engenharia aplicando princípios de engenharia, ciência e matemática."
MAT0026,CÃLCULO 2,Sequências e séries numéricas séries de potências fórmula de Taylor equações diferenciais ordinárias de 1ª ordem equações diferenciais ordinárias lineares o método da série de potências a transformada de Laplace sistemas lineares de equações diferenciais ordinárias de 1ª ordem.,PPC-EP-02,"SO2 - uma habilidade de aplicar o projeto de engenharia para produzir soluções que atendam a necessidades especificadas, considerando a saúde, a segurança e o bem-estar públicos, bem como fatores globais, culturais, sociais, ambientais e econômicos.","A disciplina CÁLCULO 2 foi associada ao SO2 porque, conforme sua ementa, contribui para desenvolver a habilidade de aplicar projeto de engenharia para propor soluções que atendam necessidades específicas considerando saúde, segurança, meio ambiente e contexto socioeconômico."
EPR0069,METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÃ‡ÃƒO,"Conceito de ciclo de vida de sistemas. O papel de projetos nas diferentes fases do ciclo de vida de sistemas. O projeto de engenharia. O escritório de projetos. Dimensões na gestão de projetos: escopo, tempo, custo, qualidade, recursos humanos, comunicação, riscos, aquisições e integração. Ferramentas computacionais na gestão de projetos.",PPC-EP-02,"SO2 - uma habilidade de aplicar o projeto de engenharia para produzir soluções que atendam a necessidades especificadas, considerando a saúde, a segurança e o bem-estar públicos, bem como fatores globais, culturais, sociais, ambientais e econômicos.","A disciplina METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÇÃO foi associada ao SO2 porque, conforme sua ementa, contribui para desenvolver a habilidade de aplicar projeto de engenharia para propor soluções que atendam necessidades específicas considerando saúde, segurança, meio ambiente e contexto socioeconômico."
EPR0069,METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÃ‡ÃƒO,"Conceito de ciclo de vida de sistemas. O papel de projetos nas diferentes fases do ciclo de vida de sistemas. O projeto de engenharia. O escritório de projetos. Dimensões na gestão de projetos: escopo, tempo, custo, qualidade, recursos humanos, comunicação, riscos, aquisições e integração. Ferramentas computacionais na gestão de projetos.",PPC-EP-03,"SO2 - uma habilidade de aplicar o projeto de engenharia para produzir soluções que atendam a necessidades especificadas, considerando a saúde, a segurança e o bem-estar públicos, bem como fatores globais, culturais, sociais, ambientais e econômicos.","A disciplina METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÇÃO foi associada ao SO2 porque, conforme sua ementa, contribui para desenvolver a habilidade de aplicar projeto de engenharia para propor soluções que atendam necessidades específicas considerando saúde, segurança, meio ambiente e contexto socioeconômico."
EPR0069,METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÃ‡ÃƒO,"Conceito de ciclo de vida de sistemas. O papel de projetos nas diferentes fases do ciclo de vida de sistemas. O projeto de engenharia. O escritório de projetos. Dimensões na gestão de projetos: escopo, tempo, custo, qualidade, recursos humanos, comunicação, riscos, aquisições e integração. Ferramentas computacionais na gestão de projetos.",PPC-EP-07,"SO2 - uma habilidade de aplicar o projeto de engenharia para produzir soluções que atendam a necessidades especificadas, considerando a saúde, a segurança e o bem-estar públicos, bem como fatores globais, culturais, sociais, ambientais e econômicos.","A disciplina METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÇÃO foi associada ao SO2 porque, conforme sua ementa, contribui para desenvolver a habilidade de aplicar projeto de engenharia para propor soluções que atendam necessidades específicas considerando saúde, segurança, meio ambiente e contexto socioeconômico."
EPR0069,METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÃ‡ÃƒO,"Conceito de ciclo de vida de sistemas. O papel de projetos nas diferentes fases do ciclo de vida de sistemas. O projeto de engenharia. O escritório de projetos. Dimensões na gestão de projetos: escopo, tempo, custo, qualidade, recursos humanos, comunicação, riscos, aquisições e integração. Ferramentas computacionais na gestão de projetos.",PPC-EP-02,SO3 - uma habilidade de se comunicar de forma eficaz com uma variedade de públicos.,"A disciplina METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÇÃO foi associada ao SO3 porque, conforme sua ementa, contribui para desenvolver a habilidade de comunicar resultados, ideias e soluções de forma clara e adequada a diferentes públicos."
EPR0069,METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÃ‡ÃƒO,"Conceito de ciclo de vida de sistemas. O papel de projetos nas diferentes fases do ciclo de vida de sistemas. O projeto de engenharia. O escritório de projetos. Dimensões na gestão de projetos: escopo, tempo, custo, qualidade, recursos humanos, comunicação, riscos, aquisições e integração. Ferramentas computacionais na gestão de projetos.",PPC-EP-03,SO3 - uma habilidade de se comunicar de forma eficaz com uma variedade de públicos.,"A disciplina METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÇÃO foi associada ao SO3 porque, conforme sua ementa, contribui para desenvolver a habilidade de comunicar resultados, ideias e soluções de forma clara e adequada a diferentes públicos."
EPR0069,METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÃ‡ÃƒO,"Conceito de ciclo de vida de sistemas. O papel de projetos nas diferentes fases do ciclo de vida de sistemas. O projeto de engenharia. O escritório de projetos. Dimensões na gestão de projetos: escopo, tempo, custo, qualidade, recursos humanos, comunicação, riscos, aquisições e integração. Ferramentas computacionais na gestão de projetos.",PPC-EP-07,SO3 - uma habilidade de se comunicar de forma eficaz com uma variedade de públicos.,"A disciplina METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÇÃO foi associada ao SO3 porque, conforme sua ementa, contribui para desenvolver a habilidade de comunicar resultados, ideias e soluções de forma clara e adequada a diferentes públicos."
EPR0069,METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÃ‡ÃƒO,"Conceito de ciclo de vida de sistemas. O papel de projetos nas diferentes fases do ciclo de vida de sistemas. O projeto de engenharia. O escritório de projetos. Dimensões na gestão de projetos: escopo, tempo, custo, qualidade, recursos humanos, comunicação, riscos, aquisições e integração. Ferramentas computacionais na gestão de projetos.",PPC-EP-02,"SO5 - uma habilidade de atuar de forma eficaz em uma equipe cujos membros, em conjunto, fornecem liderança, criam um ambiente colaborativo, estabelecem metas, planejam tarefas e alcançam objetivos.","A disciplina METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUÇÃO foi associada ao SO5 porque, conforme sua ementa, contribui para desenvolver a habilidade de atuar de forma efetiva em equipes, exercendo liderança, colaboração e organização para cumprir metas e planos."
